Handle,Title,Body HTML,Type,Tags,Status,Published,URL,Custom Collections,Smart Collections,Image Src,Image Alt Text,Option1 Name,Variant Image,Variant Price,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: custom.how_to_use [multi_line_text_field],Metafield: custom.ingredients [multi_line_text_field],Metafield: custom.essences_inside_pictures [list.file_reference],Metafield: custom.essences_inside_names [list.single_line_text_field],Metafield: custom.essences_inside_descriptors [list.single_line_text_field],Metafield: custom.summary_blurb [multi_line_text_field],Metafield: custom.smells_like [multi_line_text_field],Metafield: judgeme.widget [string]
Wood Dragon Finale Planner & Journal,Wood Dragon Finale Planner & Journal,,Books,,Active,True,https://www.lotuswei.com/products/wood-dragon-finale-planner-journal,all,"low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/8_05d90774-c01d-40d3-8328-5b4dca8a4ac9.png?v=1721699808,,,,,,,,,,,,,,
Wood Dragon Finale Planner & Journal,Wood Dragon Finale Planner & Journal,,Books,,Active,True,https://www.lotuswei.com/products/wood-dragon-finale-planner-journal,all,"low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/9_39cff347-34c2-459e-896c-5553d818e60c.png?v=1721699807,,,,,,,,,,,,,,
Wood Dragon Finale Planner & Journal,Wood Dragon Finale Planner & Journal,,Books,,Active,True,https://www.lotuswei.com/products/wood-dragon-finale-planner-journal,all,"low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/10_784c9112-f08d-4c39-b6fe-729ffc4c7ebd.png?v=1721699808,,,,,,,,,,,,,,
Dragon Heart Dark Chocolate,Dragon Heart Dark Chocolate,Facing a dragon requires courage and clarity. Awaken your spirit of adventure and let this intriguing dark chocolate melt in your mouth.,Chocolate,Awakened Perception,Active,True,https://www.lotuswei.com/products/70-dragon-heart-dark-chocolate,"weiofchocolate, chocolate-bundle-builder",all-products,https://cdn.shopify.com/s/files/1/0223/5181/files/DragonHeart-WoC-Square-Pouch-FRONT.jpg?v=1732759230,,Title,,$12,,,"These 3"" x 3"" square chocolate bars break into 9 delicious segments. Take a moment to let it melt in your mouth, and enjoy the peace of chocolate.","Organic 70% dark chocolate (organic cocoa mass, organic coconut blossom sugar, organic cocoa butter), organic dragon fruit, organic Chinese five spice (organic anise star, organic cloves, organic cinnamon, organic fennel seed, organic black pepper), organic nutmeg, dragon's blood powder and LOTUSWEI Awakened Perception flower remedy blend. ALLERGENS: Coconut. Made in a facility that processes milk, eggs, almonds, coconut & other treenuts.",,,,"Ready for exotic flavor? Dragon Heart is a fantastical blend of dragonfruit, dragon's blood resin and Chinese Five spice that is sure to intrigue your taste buds. Infused with LOTUSWEI Awakened Perception flower essences for cutting through illusion, and experiencing more pleasure and freedom. *Climates with temperature over 80F / 25C, there's a risk your chocolate will arrive melted.",,Customer Reviews Be the first to write a review Write a review 0% (0) 0% (0) 0% (0) 0% (0) 0% (0)
Dragon Heart Dark Chocolate,Dragon Heart Dark Chocolate,,Chocolate,Awakened Perception,Active,True,https://www.lotuswei.com/products/70-dragon-heart-dark-chocolate,"weiofchocolate, chocolate-bundle-builder",all-products,https://cdn.shopify.com/s/files/1/0223/5181/files/DragonHeart-WoC-Square-Bar.jpg?v=1732759230,,,,,,,,,,,,,,
Dragon Heart Dark Chocolate,Dragon Heart Dark Chocolate,,Chocolate,Awakened Perception,Active,True,https://www.lotuswei.com/products/70-dragon-heart-dark-chocolate,"weiofchocolate, chocolate-bundle-builder",all-products,https://cdn.shopify.com/s/files/1/0223/5181/files/Dragon_Heart-WoC-Square-Pouch-BACK.jpg?v=1732924588,,,,,,,,,,,,,,
Dragon Heart Dark Chocolate,Dragon Heart Dark Chocolate,,Chocolate,Awakened Perception,Active,True,https://www.lotuswei.com/products/70-dragon-heart-dark-chocolate,"weiofchocolate, chocolate-bundle-builder",all-products,https://cdn.shopify.com/s/files/1/0223/5181/files/Dragon_Heart-Ingredient_Posts.png?v=1732924584,,,,,,,,,,,,,,
Masala Spice Dark Chocolate,Masala Spice Dark Chocolate,India is a place of miracles and transformation. Experience the spicy goodness and melt into the space between your thoughts to awaken understanding.,Chocolate,Awakened Perception,Active,True,https://www.lotuswei.com/products/68-masala-spice-dark-chocolate,"weiofchocolate, chocolate-bundle-builder",all-products,https://cdn.shopify.com/s/files/1/0223/5181/files/MasalaSpice-WoC-Square-Pouch-FRONT.jpg?v=1732759377,,Title,,$12,,,"These 3"" x 3"" square chocolate bars break into 9 delicious segments. Take a moment to let it melt in your mouth, and enjoy the peace of chocolate.","Organic 68% dark chocolate (organic cocoa mass, organic coconut blossom sugar, organic cocoa butter), organic vanilla extract, organic nutmeg, organic cinnamon, organic cayenne, organic chili powder (organic chili peppers, organic cumin, organic oregano, organic coriander, organic garlic, organic rice concentrate, organic allspice, organic cloves), and LOTUSWEI Awakened Understanding flower remedy blend. ALLERGENS: Coconut. Made in a facility that processes milk, eggs, almonds, coconut & other treenuts.",,,,"Welcome to the Indian subcontinent in a chocolate! Sultry spices infused into creamy dark chocolate turn up the heat, and join with LOTUSWEI flower essences to Awaken Understanding. *Climates with temperature over 80F / 25C, there's a risk your chocolate will arrive melted.",,Customer Reviews Be the first to write a review Write a review 0% (0) 0% (0) 0% (0) 0% (0) 0% (0)
Masala Spice Dark Chocolate,Masala Spice Dark Chocolate,,Chocolate,Awakened Perception,Active,True,https://www.lotuswei.com/products/68-masala-spice-dark-chocolate,"weiofchocolate, chocolate-bundle-builder",all-products,https://cdn.shopify.com/s/files/1/0223/5181/files/MasalaSpice-WoC-Square-Bar.jpg?v=1732759377,,,,,,,,,,,,,,
Masala Spice Dark Chocolate,Masala Spice Dark Chocolate,,Chocolate,Awakened Perception,Active,True,https://www.lotuswei.com/products/68-masala-spice-dark-chocolate,"weiofchocolate, chocolate-bundle-builder",all-products,https://cdn.shopify.com/s/files/1/0223/5181/files/Masala_Spice-WoC-Square-Pouch-BACK.jpg?v=1732924589,,,,,,,,,,,,,,
Masala Spice Dark Chocolate,Masala Spice Dark Chocolate,,Chocolate,Awakened Perception,Active,True,https://www.lotuswei.com/products/68-masala-spice-dark-chocolate,"weiofchocolate, chocolate-bundle-builder",all-products,https://cdn.shopify.com/s/files/1/0223/5181/files/Masala_Spice-Ingredient_Posts.png?v=1732924584,,,,,,,,,,,,,,
Red Orange Chrysanthemum Earrings,Red Orange Chrysanthemum Earrings,"These Red Orange Chrysanthemum earrings are little bursts of joy! Crafted from real petals encased in resin, their shape is a delicate teardrop, and the color? A radiant mix of fiery reds, oranges, and sun-kissed golds that feels both vibrant and warm. Expect endless compliments—these beauties frame your face with a bold, cheerful glow, sure to lift your spirits and everyone else's too. Like all creations from Mother Nature, each pair is wonderfully unique. Petals measure about 1.5 inches high by 1 inch wide, and the silver-coated steel hooks are nickel-fre",Jewelry,,Active,True,https://www.lotuswei.com/products/red-orange-chrysanthemum-earrings-1,"gifts, flower-fashion","low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/Screenshot_2024-10-23_164630.png?v=1729727209,,Title,,$49,,,,,,,,,,Customer Reviews Be the first to write a review Write a review 0% (0) 0% (0) 0% (0) 0% (0) 0% (0)
SKY PETALS ON SILK,SKY PETALS ON SILK,"Sky Petals by Alison Van Wyck printed on silk. 100% Real Silk Satin (2.5oz), measuring 52” x 52”. Beautifully & sustainably printed on one side. Includes an 8.5 x 8.5"" print signed by Alison. On the back of the print, you will find a QR code that leads you to an opportunity to book a 1:1 Virtual Meet the Artist session to hear first-hand about the stories & meditation masters that inspired this painting. *This special item will ship separately from anything else you order on lotuswei.com & be lovingly packaged by Alison herself.",,silks,Active,True,https://www.lotuswei.com/products/sky-petals-on-silk,alison-van-wyck-art,"elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/Alison-Silk-Painting-gif-2.gif?v=1734113046,,Title,,$550,,,"Frame it & hang it somewhere in your home that needs Wood or Water element (flowers are considered Wood element & the color blue is considered Water Element). Place it on your altar to hold everything that is most precious to you. Drape it over yourself while you're doing your meditation practice. Silk is also known to be a protective fiber, and can protect you from negative external energies. In the far east, meditation practitioners wear silk shawls or zens during their practice, and it’s said that silk can hold the positive energy that’s self-accumulated. It’s like wearing a force field of protection made of your own true nature. Get with someone who knows how to make clothing, and design something uniquely YOU! Wear it as a scarf or sarong. Care Instructions: Dry clean only recommended, can be hand washed in cold water with silk detergent.",,,,,"""At special times, the sky is full of flowers. Not many people can perceive this auspicious phenomenon, though some feel dew of petals falling on their skin.  Larger than life, I painted this so I could see it & share it with others."" ~ Alison Van Wyck",,"Customer Reviews Based on 2 reviews Write a review 100% (2) 0% (0) 0% (0) 0% (0) 0% (0) P Peggy S. Surrounded by Beauty This was a Christmas gift I received after a slight hint!  I had been thinking I'd wear it but it's a bit large unless 'tailored' in some way.  Instead - and even more beautifully - I am using it during my morning meditation - which means I get to use it everyday which I wouldn't if it were a clothing item.  The colors are all the magnificence of the sky and I am drawn into the vastness, the potential, and all of the magic being offered. So thrilled to hear it brings daily beauty and magic to your meditation! P Pamela Z. So many options ~ multipurpose art! Love my Sky Petals on Silk! The light shining through it in my bedroom, easily hung from the drapery rod. I love feeling (and seeing) the flower petals from the ascended masters. When I go to a special event I slip it off and wrap it around me for beauty and protection. Thank you Alison XO Thank you, Pamela! We’re so happy to hear how your Sky Petals on Silk brings beauty and connection to your life."
SKY PETALS ON SILK,SKY PETALS ON SILK,,,silks,Active,True,https://www.lotuswei.com/products/sky-petals-on-silk,alison-van-wyck-art,"elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/SKYPETALS.png?v=1734113046,,,,,,,,,,,,,,
SKY PETALS ON SILK,SKY PETALS ON SILK,,,silks,Active,True,https://www.lotuswei.com/products/sky-petals-on-silk,alison-van-wyck-art,"elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/skypetalskatiekimono_1.png?v=1734135844,,,,,,,,,,,,,,
SKY PETALS ON SILK,SKY PETALS ON SILK,,,silks,Active,True,https://www.lotuswei.com/products/sky-petals-on-silk,alison-van-wyck-art,"elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/skypetalsscarf_3.png?v=1734135851,,,,,,,,,,,,,,
SKY PETALS ON SILK,SKY PETALS ON SILK,,,silks,Active,True,https://www.lotuswei.com/products/sky-petals-on-silk,alison-van-wyck-art,"elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/skypetalssarong_1.png?v=1734135855,,,,,,,,,,,,,,
SKY PETALS ON SILK,SKY PETALS ON SILK,,,silks,Active,True,https://www.lotuswei.com/products/sky-petals-on-silk,alison-van-wyck-art,"elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/skypetalsdress_1.png?v=1734135859,,,,,,,,,,,,,,
SKY PETALS ON SILK,SKY PETALS ON SILK,,,silks,Active,True,https://www.lotuswei.com/products/sky-petals-on-silk,alison-van-wyck-art,"elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/skypetalskimono_1.png?v=1734135864,,,,,,,,,,,,,,
Cherry Bomb Dark Chocolate,Cherry Bomb Dark Chocolate,Wei of Chocolate infuses gloriously rich organic chocolate with LOTUSWEI flower essences! Enjoy dark chocolate with dried cherries in 68% cacao dark chocolate. Let joy be your compass and guide you to clarify your vision as chocolate melts away your worries.,Chocolate,Joy Juice,Active,True,https://www.lotuswei.com/products/68-cherry-bomb-dark-chocolate,"weiofchocolate, chocolate-bundle-builder","low-stock-products-all-products, joy-juice, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/CherryBomb-WoC-Square-Pouch-FRONT.jpg?v=1732759476,,Title,,$12,,,"These 3"" x 3"" square chocolate bars break into 9 delicious segments. Take a moment to let it melt in your mouth, and enjoy the peace of chocolate.","Organic 68% dark chocolate (organic cocoa mass, organic coconut blossom sugar, organic cocoa butter), organic dried tart cherries, organic almond extract, cherry extract and LOTUSWEI Joy Juice flower remedy blend. ALLERGENS: Coconut. Made in a facility that processes milk, eggs, almonds, coconut & other treenuts.",,,,"Talk about fun! What’s not to love about creamy almond essence with bits of flavorful dried cherry sprinkled on the back? Infused with LOTUSWEI Joy Juice flower essences for more laughter, fun and lightheartedness, this chocolate is sure to please. *Climates with temperature over 80F / 25C, there's a risk your chocolate will arrive melted.",,"Customer Reviews Based on 3 reviews Write a review 100% (3) 0% (0) 0% (0) 0% (0) 0% (0) L Lori D. Crowd pleaser I offered this chocolate to a community of ladies at a yoga wine and art event. EVERYONE responded with a big MMMMM - this is really good!!  Now they all know about Lotuswei Thank you for sharing LOTUSWEI so beautifully! P Pam G. One of my favorites of Wei of Chocolates Rich and creamy consistency. Love the almond extract with bits of dried cherries. It makes me happy. Living in a blissed out joyful state. Grateful for your joy! Savor the blissful chocolate magic! S Steve As tasty as it gets using natural flavors Still adjusting to pure natural ingredients instead of the ""default cherry chocolate sweetness"" of grocery store/cheaper chocolate.  I have got to say, for trading taste in for health, this is the best cherry flavored chocolate made of 100% natural (and possibly organic) ingredients. It's my new favorite from Lotus Wei of Chocolate. Yes, 100% natural & organic! So glad you are loving it!!"
Cherry Bomb Dark Chocolate,Cherry Bomb Dark Chocolate,,Chocolate,Joy Juice,Active,True,https://www.lotuswei.com/products/68-cherry-bomb-dark-chocolate,"weiofchocolate, chocolate-bundle-builder","low-stock-products-all-products, joy-juice, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/CherryBomb-WoC-Bar.jpg?v=1732759476,,,,,,,,,,,,,,
Cherry Bomb Dark Chocolate,Cherry Bomb Dark Chocolate,,Chocolate,Joy Juice,Active,True,https://www.lotuswei.com/products/68-cherry-bomb-dark-chocolate,"weiofchocolate, chocolate-bundle-builder","low-stock-products-all-products, joy-juice, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/Cherry_Bomb-WoC-Square-Pouch-BACK.jpg?v=1732924615,,,,,,,,,,,,,,
Cherry Bomb Dark Chocolate,Cherry Bomb Dark Chocolate,,Chocolate,Joy Juice,Active,True,https://www.lotuswei.com/products/68-cherry-bomb-dark-chocolate,"weiofchocolate, chocolate-bundle-builder","low-stock-products-all-products, joy-juice, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/Cherry_Bomb-Ingredient_Posts.png?v=1732924614,,,,,,,,,,,,,,
Pink Orchid Petal Earrings,Pink Orchid Petal Earrings,"These orchid petal earrings look like juicy, delicious gum drops! Orchid petals dipped in resin; tear-drop shape, the color is a luminous pinky, orange apricot that defies description but is oh so sumptuous! You'll get so many compliments on these - they add such a gorgeous pop of color to your face + brighten everyone's day. Mother Nature is wildly beautiful; no pair is perfectly identical and all of them are eye-catching. Petal size about 1.5 inches high and 1 inch wide approximately. Earring hooks are silver-coated steel & are free from Nickel.",Jewelry,,Active,True,https://www.lotuswei.com/products/purple-white-dendrobium-petal-earrings,"gifts, flower-fashion","low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/2160167AMZN_1296x_602ae117-1172-4e79-9043-00f8903b040f.jpg?v=1701738100,,Title,,$39,,,,,,,,,,Customer Reviews Be the first to write a review Write a review 0% (0) 0% (0) 0% (0) 0% (0) 0% (0)
RELAXING SILK PILLOWCASE,RELAXING SILK PILLOWCASE,"Bardo of Sleep by Alison Van Wyck printed on a silk pillowcase. 100% Pure Silk Satin (2.5oz). Queen-sized: 29.1"" x 18.9"". Beautifully & sustainably printed on both sides. Naturally frictionless, soft & luxurious, sleeping on a silk pillowcase has been linked to many health & skin benefits for centuries. Silk helps keep skin & hair hydrated, is said to prevent wrinkles & split ends and helps regulate body temperature while you are sleeping. *This special item will ship separately from anything else you order on lotuswei.com & be lovingly packaged by Alison herself.",,silks,Active,True,https://www.lotuswei.com/products/relaxing-silk-pillowcase,alison-van-wyck-art,"elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/PILLOWS.png?v=1734120213,,Title,,$108,Relaxing Silk Pillowcase | Bardo of Sleep by Alison Van Wyck,"Bardo of Sleep by Alison Van Wyck printed on a silk pillowcase. Naturally frictionless, soft and luxurious, sleeping on a silk pillowcase has been linked to many health & skin benefits for centuries. Silk helps keep skin & hair hydrated, is said to prevent wrinkles & split ends and helps regulate body temperature while you are sleeping.","Fall into the bardo of sleep with your head upon a silky pillowcase. *Dry clean only recommended, can be hand washed in cold water with silk detergent.",,,,,"""“Bardo” is the Tibetan word for “in-between”. Intermediate state. Transitional period. In Bardo, we are alone. When we sleep, when we die, when we take birth – we are alone. In a Bardo, we are in our own mind’s projection – how we see the world & what we believe to be true.""
~ Alison Van Wyck",,Customer Reviews Be the first to write a review Write a review 0% (0) 0% (0) 0% (0) 0% (0) 0% (0)
RELAXING SILK PILLOWCASE,RELAXING SILK PILLOWCASE,,,silks,Active,True,https://www.lotuswei.com/products/relaxing-silk-pillowcase,alison-van-wyck-art,"elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/PILLOWS_2.png?v=1734120693,,,,,,,,,,,,,,
RELAXING SILK PILLOWCASE,RELAXING SILK PILLOWCASE,,,silks,Active,True,https://www.lotuswei.com/products/relaxing-silk-pillowcase,alison-van-wyck-art,"elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/PILLOWS_1.png?v=1734120693,,,,,,,,,,,,,,
